book_id,title,publish_date,author_id,publisher_id
1,Secret Constellation #1,1993-12-29,15,12
2,Bright Kite #2,2000-06-27,180,1
3,Shattered Harbor #3,2005-12-15,36,10
4,Velvet Chapel #4,1978-03-26,272,14
5,Luminous Forest of Fire #5,2003-03-14,160,21
6,Storm Mountain of Glass #6,1983-12-17,81,40
7,Crimson Constellation and Smoke #7,2008-01-16,249,39
8,Paper Forest of Salt #8,2000-12-19,221,8
9,Forgotten Constellation #9,2013-08-28,270,43
10,Forgotten Garden of Glass #10,1970-09-09,105,20
11,Hidden Street of Honey #11,1995-12-20,168,8
12,Midnight Atlas #12,1985-10-06,67,25
13,Emerald Kite and Bone #13,1976-06-19,204,3
14,Iron River of Stars #14,1998-02-01,295,28
15,Storm Signal #15,2007-06-22,149,8
16,Luminous River #16,1985-06-02,317,30
17,Summer Mirror of Salt #17,1991-10-30,224,38
18,Luminous Wanderer of Stone #18,2000-06-17,114,22
19,Shattered Library of Salt #19,2017-08-08,262,13
20,Wild Mirror #20,1983-04-02,121,7
21,Restless Labyrinth of Shadows #21,1976-10-05,91,41
22,Sapphire Ocean #22,2021-12-27,230,44
23,Storm Chapel #23,1998-12-30,162,10
24,Paper Library of Stone #24,1994-08-23,303,4
25,Wild Wanderer and Smoke #25,2010-07-18,20,4
26,Wild Crown of Stars #26,2025-03-05,305,33
27,Luminous Ocean #27,1973-09-06,231,37
28,Autumn Archive and Silk #28,2014-12-24,78,4
29,Paper Empire #29,2000-10-23,44,33
30,Autumn Compass and Smoke #30,2009-06-03,269,34
31,Secret Compass of Stone #31,2004-10-03,210,22
32,Winter Mountain of Night #32,1975-11-30,169,7
33,Emerald Constellation of Honey #33,2024-01-27,77,22
34,Silent City #34,2001-05-20,159,42
35,Summer Constellation of Stars #35,1997-10-10,287,25
36,Autumn Horizon #36,2017-03-23,48,42
37,Winter Forest of Ash #37,2002-07-13,159,12
38,Hidden Horizon #38,2013-08-17,99,15
39,Restless Harbor of Salt #39,2015-07-19,277,34
40,Crimson Constellation of Shadows #40,2023-08-01,193,10
41,Shattered Compass #41,1984-11-07,225,3
42,Iron Mirror #42,1991-04-24,228,40
43,Forgotten Street #43,2010-04-11,120,35
44,Last Crown #44,2012-01-29,100,24
45,Winter City #45,2011-06-03,145,25
46,Frost Wanderer of Fire #46,1987-12-01,310,9
47,Bright Garden #47,2003-04-21,284,7
48,Summer Wanderer #48,1995-07-29,43,11
49,Bright Ocean #49,1983-03-22,224,6
50,Last Ocean #50,1972-05-23,213,4
51,Luminous Wanderer and Bloom #51,1977-04-28,192,15
52,Midnight Horizon #52,2000-01-30,75,9
53,Crimson Crown #53,2012-05-21,72,31
54,Paper Mountain of Stars #54,1971-09-15,132,14
55,Restless Machine #55,2024-08-16,271,28
56,Golden Street of Stone #56,1980-12-06,25,16
57,Iron Chapel #57,2011-01-04,33,8
58,Sapphire Mountain of Thunder #58,1982-11-18,150,28
59,Midnight Mountain and Steel #59,1986-10-21,44,34
60,Wild Library #60,2018-10-24,260,33
61,Emerald River and Silk #61,1973-11-27,199,24
62,Bright Bridge of Stars #62,2000-12-07,124,43
63,Autumn Empire #63,1999-10-31,69,3
64,Wild Machine of Fire #64,2011-09-07,246,41
65,Shattered Harbor and Smoke #65,1973-04-26,151,13
66,Crimson Archive #66,1998-04-25,159,33
67,Luminous Machine of Glass #67,1987-02-23,147,23
68,Crimson Chapel of Salt #68,2003-01-07,224,26
69,Velvet Ocean #69,2004-09-08,174,12
70,Sapphire Kite of Honey #70,1977-05-31,218,6
71,Iron Mountain #71,1986-03-11,280,19
72,Ancient Empire of Stone #72,1997-07-01,229,39
73,Summer Forest and Smoke #73,2001-07-16,229,3
74,Velvet Mirror #74,2009-01-08,141,41
75,Crimson Library #75,2006-06-11,187,33
76,Velvet Constellation of Ash #76,1982-10-23,312,44
77,Paper Garden of Thunder #77,2002-11-12,186,25
78,Storm Garden #78,2010-05-14,190,24
79,Paper Street of Shadows #79,2017-07-02,188,26
80,Ancient Chapel of Salt #80,1972-04-29,96,32
81,Frost Signal #81,1980-07-25,135,17
82,Summer Ocean of Stone #82,2014-01-25,103,8
83,Restless Library and Smoke #83,1977-11-16,164,43
84,Wild Kite of Stone #84,1996-11-28,81,45
85,Autumn Compass #85,2015-08-23,115,8
86,Hidden Harbor and Silk #86,1972-05-11,185,36
87,Storm Mirror of Shadows #87,2024-11-25,45,5
88,Forgotten Signal #88,2012-12-10,270,27
89,Iron City of Night #89,1976-08-27,231,30
90,Winter Wanderer of Fire #90,1981-07-30,222,33
91,Crimson Empire of Stone #91,1984-10-09,83,21
92,Summer Tower of Stone #92,1977-01-28,129,13
93,Autumn Machine of Stone #93,2025-02-14,274,6
94,Frost Chapel of Shadows #94,1985-05-11,320,39
95,Ancient City of Ash #95,1977-04-15,24,42
96,Storm Labyrinth #96,2021-04-30,214,40
97,Autumn River of Stone #97,1997-02-07,248,16
98,Winter Signal of Stars #98,1975-05-18,81,29
99,Iron Atlas of Night #99,2024-06-05,74,21
100,Summer Horizon #100,2000-12-26,205,9
101,Wild Wanderer #101,1998-08-18,124,30
102,Golden Labyrinth of Shadows #102,1978-09-08,26,19
103,Luminous Mountain of Fire #103,1999-05-18,296,21
104,Hidden Street and Smoke #104,2014-09-30,158,32
105,Midnight Library #105,2015-05-07,235,16
106,Hidden City of Glass #106,1995-03-30,254,39
107,Autumn Constellation of Ash #107,1979-08-24,221,9
108,Bright Bridge and Bloom #108,2002-10-31,24,26
109,Crimson City #109,2002-07-11,284,19
110,Silent Signal of Honey #110,2025-11-30,313,8
111,Restless Empire of Night #111,2020-01-18,188,10
112,Hidden Mountain of Glass #112,1974-01-24,20,9
113,Summer Horizon #113,2016-08-04,234,10
114,Secret Wanderer of Night #114,1984-07-30,202,40
115,Velvet Crown #115,2015-07-07,261,35
116,Sapphire Kite #116,2012-08-09,9,24
117,Ancient Constellation and Steel #117,2022-05-14,158,45
118,Autumn River #118,1993-10-27,297,37
119,Last Bridge and Silk #119,1985-04-19,269,41
120,Velvet Mountain #120,2004-02-10,76,44
121,Last Garden #121,1979-11-11,98,2
122,Paper Horizon and Steel #122,1988-04-17,211,33
123,Secret Atlas #123,1975-08-03,71,34
124,Hidden Machine and Silk #124,2017-02-21,193,21
125,Shattered Ocean #125,2000-09-17,280,23
126,Winter Street #126,1993-09-19,313,31
127,Hidden Tower of Stone #127,1990-03-05,153,19
128,Summer Archive #128,2013-11-14,163,31
129,Wild Machine #129,1994-07-14,148,8
130,Storm Constellation and Bloom #130,2000-12-18,75,19
131,Crimson Crown #131,1977-02-02,178,29
132,Autumn Labyrinth #132,1989-03-13,104,35
133,Bright Machine #133,1982-04-26,56,40
134,Velvet City of Glass #134,2017-08-23,116,41
135,Last Garden of Night #135,2012-05-19,52,44
136,Restless River #136,1984-03-03,209,42
137,Sapphire Atlas #137,1995-10-09,165,19
138,Autumn Garden #138,1978-01-10,294,15
139,Emerald Bridge #139,1973-05-07,90,27
140,Shattered Garden #140,2005-08-13,254,12
141,Velvet Crown #141,1970-10-31,153,37
142,Secret Empire #142,2000-01-22,146,30
143,Autumn Machine of Shadows #143,2015-03-28,240,18
144,Hidden Empire and Smoke #144,1993-01-30,96,1
145,Velvet Horizon #145,2020-12-09,99,12
146,Secret Chapel #146,2008-05-15,264,21
147,Silent Signal #147,1986-07-30,72,31
148,Ancient Tower and Bloom #148,1991-02-17,229,18
149,Ancient Crown #149,2021-05-25,6,17
150,Autumn Mirror #150,1975-07-29,61,30
151,Forgotten Compass of Stone #151,1980-07-14,152,24
152,Secret Tower of Shadows #152,2012-11-25,79,30
153,Velvet Mountain and Silk #153,2018-03-23,112,16
154,Winter Street #154,1977-05-06,270,29
155,Frost Kite of Salt #155,1975-07-17,281,33
156,Hidden City of Fire #156,1999-06-09,267,29
157,Golden Constellation and Silk #157,1978-02-27,262,29
158,Crimson Ocean and Steel #158,2010-12-25,289,4
159,Emerald Ocean #159,1997-08-25,12,26
160,Bright River #160,2021-11-19,38,3
161,Iron Mirror #161,2018-07-20,31,5
162,Sapphire Garden of Fire #162,1982-02-24,216,24
163,Luminous Ocean #163,2003-11-13,193,6
164,Winter Constellation #164,1981-12-06,179,8
165,Shattered Machine of Shadows #165,1989-12-24,2,2
166,Forgotten Ocean #166,2018-11-05,218,35
167,Luminous Tower and Bone #167,1983-12-02,142,13
168,Velvet Street and Steel #168,2025-03-02,9,16
169,Hidden Library of Glass #169,2010-01-19,307,44
170,Summer Garden of Glass #170,2006-02-02,225,15
171,Emerald Archive #171,1975-01-24,72,33
172,Forgotten Tower #172,2021-09-07,164,37
173,Secret Street #173,1998-10-08,122,20
174,Restless Constellation and Steel #174,1996-12-16,141,4
175,Emerald City #175,1985-09-17,219,36
176,Sapphire Garden #176,2004-03-12,269,21
177,Summer Forest of Stone #177,2003-10-10,95,35
178,Sapphire Tower #178,1996-12-24,74,30
179,Crimson Machine and Steel #179,2019-12-31,272,9
180,Luminous Tower of Night #180,1977-02-03,231,24
181,Silent Machine #181,1987-02-02,27,18
182,Luminous Constellation #182,1973-07-19,38,13
183,Storm Bridge #183,1989-06-21,246,14
184,Ancient Crown #184,1971-05-18,109,13
185,Velvet Empire #185,2012-12-19,125,45
186,Secret Kite of Thunder #186,2019-07-13,165,19
187,Luminous Ocean and Bone #187,1997-09-02,134,24
188,Frost Atlas and Silk #188,1998-09-24,105,24
189,Ancient Forest of Thunder #189,1983-02-03,9,17
190,Emerald City #190,2007-06-19,152,10
191,Hidden Horizon of Thunder #191,2014-10-18,282,42
192,Winter Horizon and Silk #192,2014-01-05,236,11
193,Velvet Mirror and Silk #193,1986-07-06,278,42
194,Crimson Wanderer of Stars #194,1974-05-09,4,27
195,Restless Chapel of Shadows #195,1970-10-27,112,33
196,Paper Mirror and Silk #196,2013-10-08,9,1
197,Emerald Machine of Ash #197,2017-06-30,141,35
198,Forgotten River and Steel #198,1986-01-31,55,7
199,Frost Harbor of Honey #199,2001-10-19,137,26
200,Silent Mirror #200,2011-03-07,290,16
201,Summer Tower of Stars #201,1972-11-04,48,26
202,Luminous Signal #202,1975-01-13,5,45
203,Shattered Library and Steel #203,1999-09-21,290,7
204,Frost Garden and Silk #204,1994-04-28,24,5
205,Winter Labyrinth #205,2020-07-22,17,12
206,Ancient River #206,2022-08-31,74,26
207,Silent Crown of Thunder #207,2020-11-03,200,44
208,Emerald Horizon of Shadows #208,1977-01-13,257,23
209,Crimson Empire of Stars #209,2000-07-22,310,40
210,Secret Signal #210,1999-04-13,16,41
211,Bright Ocean and Bone #211,2019-08-13,193,28
212,Shattered Constellation #212,2004-02-06,44,40
213,Forgotten Tower #213,1977-05-12,138,10
214,Luminous Kite #214,1983-11-04,200,21
215,Wild Empire of Stone #215,2009-11-25,185,18
216,Golden Harbor and Steel #216,2010-04-08,286,36
217,Frost Forest of Stars #217,2001-10-02,284,6
218,Secret Mountain #218,2004-07-24,7,19
219,Iron Signal #219,2020-03-13,125,37
220,Frost Compass #220,1985-03-17,72,18
221,Forgotten Labyrinth of Stars #221,1985-01-01,223,18
222,Iron Crown of Stars #222,2002-05-26,129,16
223,Velvet Chapel of Snow #223,2011-01-29,55,9
224,Forgotten River #224,1999-10-22,318,25
225,Ancient Ocean of Shadows #225,1996-12-14,165,39
226,Summer Archive of Fire #226,2005-09-23,164,19
227,Velvet Kite #227,2021-08-31,125,21
228,Luminous Labyrinth #228,2005-04-02,187,8
229,Storm Archive #229,2018-12-14,93,44
230,Emerald River #230,2011-06-01,108,29
231,Forgotten Kite and Steel #231,2014-10-18,72,41
232,Forgotten Tower of Shadows #232,2007-12-18,194,5
233,Paper Mountain and Bloom #233,2017-12-10,260,45
234,Iron Machine and Bone #234,2018-03-03,305,41
235,Silent Empire #235,2001-11-06,86,42
236,Secret Garden #236,2005-11-07,170,28
237,Golden River of Thunder #237,2015-10-25,266,36
238,Storm Kite #238,2009-12-29,192,26
239,Paper Street #239,2014-11-25,78,23
240,Midnight Atlas and Steel #240,1977-09-14,60,10
241,Wild Crown of Snow #241,2016-10-01,248,23
242,Sapphire Empire and Smoke #242,1998-08-12,35,20
243,Crimson Kite of Night #243,1979-10-24,85,16
244,Frost Compass #244,1999-09-11,287,28
245,Paper Tower #245,1986-07-20,96,41
246,Winter Forest of Snow #246,2010-05-02,304,28
247,Luminous River #247,1988-06-18,143,5
248,Storm Empire #248,2018-03-02,96,24
249,Ancient Archive of Honey #249,2013-11-30,271,41
250,Ancient Mountain and Bloom #250,2022-08-30,59,23
251,Wild Ocean #251,1996-09-07,315,38
252,Silent Constellation of Salt #252,1991-05-28,157,8
253,Shattered Mirror #253,2015-10-30,199,27
254,Secret Harbor #254,2007-12-15,96,32
255,Autumn Machine #255,1985-07-17,285,11
256,Sapphire Crown of Night #256,2010-06-18,318,4
257,Wild River of Snow #257,2004-06-12,288,33
258,Autumn Atlas and Silk #258,2007-04-16,228,32
259,Shattered Library #259,1989-10-14,150,3
260,Bright Tower of Fire #260,2011-01-11,290,32
261,Emerald Wanderer of Salt #261,1994-01-13,279,24
262,Emerald Street and Smoke #262,2019-01-06,112,28
263,Golden Bridge #263,1992-03-17,153,3
264,Paper Labyrinth of Stars #264,2009-05-23,61,16
265,Hidden Bridge #265,2001-06-16,313,41
266,Iron Compass #266,1988-07-15,106,4
267,Storm Mirror of Fire #267,1999-01-14,150,19
268,Storm Labyrinth #268,2016-02-25,49,9
269,Iron Garden #269,1981-05-20,68,16
270,Restless Kite of Thunder #270,2005-03-26,251,10
271,Storm Chapel and Steel #271,2003-08-29,232,5
272,Autumn Street of Honey #272,2003-02-10,233,32
273,Ancient City of Stars #273,2011-02-17,184,5
274,Emerald Signal and Steel #274,1989-01-02,254,18
275,Ancient Crown of Shadows #275,2020-10-16,249,22
276,Winter Street of Salt #276,2011-03-26,9,8
277,Shattered Ocean and Steel #277,1988-02-25,68,42
278,Forgotten Compass #278,1994-08-02,48,42
279,Wild Labyrinth of Fire #279,1974-08-24,203,41
280,Forgotten Bridge #280,1991-01-03,220,42
281,Silent Kite of Snow #281,2012-10-11,40,9
282,Storm Tower and Smoke #282,1970-11-01,5,45
283,Ancient Empire #283,2007-11-21,68,31
284,Silent Tower of Salt #284,1979-04-05,161,24
285,Forgotten Harbor of Shadows #285,1982-10-26,36,34
286,Storm River #286,1984-09-21,226,23
287,Velvet Archive #287,1983-08-01,211,40
288,Winter Ocean #288,1977-10-11,52,9
289,Golden City #289,2001-07-16,220,21
290,Restless Tower of Stars #290,1992-04-06,284,39
291,Secret Bridge #291,1972-05-28,155,14
292,Frost Mountain and Bloom #292,1996-07-07,28,16
293,Sapphire Signal and Silk #293,2023-04-14,37,34
294,Midnight Mirror #294,1981-11-03,199,37
295,Iron Mirror of Fire #295,2012-04-04,38,2
296,Storm Library of Snow #296,1973-07-29,31,26
297,Frost Crown #297,2014-12-14,213,28
298,Summer Signal of Shadows #298,1994-11-23,43,20
299,Silent Wanderer #299,1983-12-10,275,21
300,Luminous City #300,1975-12-07,159,45
