book_id,genre_id
1,7
2,15
3,4
3,7
4,16
4,12
5,2
5,14
6,6
7,5
8,13
9,12
10,8
10,12
11,11
11,15
12,11
13,4
14,2
15,12
15,8
16,15
17,14
18,16
18,12
19,6
19,12
20,3
21,1
21,10
22,15
23,15
23,3
24,9
25,4
26,16
26,6
27,14
27,5
28,11
28,13
29,5
29,1
30,7
31,9
32,11
33,10
33,3
34,9
34,8
35,6
36,9
36,10
37,8
38,5
39,6
39,1
40,2
41,7
42,1
42,6
43,14
43,12
44,5
45,10
46,4
47,14
48,3
49,9
50,4
51,3
52,8
53,11
54,11
54,5
55,3
56,11
57,2
58,11
59,2
59,11
60,8
61,13
61,14
62,7
63,5
63,8
64,16
65,7
65,11
66,7
67,3
67,8
68,7
69,2
70,9
71,8
72,16
73,6
74,8
75,16
76,13
77,16
78,8
78,2
79,10
80,15
81,14
81,2
82,11
82,16
83,13
83,12
84,16
84,14
85,16
86,8
87,9
87,16
88,14
88,1
89,11
90,11
90,7
91,15
91,7
92,2
92,5
93,8
94,2
94,5
95,8
96,6
97,4
98,11
99,1
99,12
100,13
100,2
101,11
102,3
103,7
104,7
104,3
105,13
106,8
107,6
107,15
108,14
108,4
109,8
110,2
111,4
112,16
113,10
113,5
114,8
114,1
115,4
115,14
116,13
117,9
117,14
118,3
118,9
119,14
120,5
120,2
121,13
122,10
122,13
123,1
123,5
124,7
124,2
125,16
125,7
126,3
126,4
127,9
128,8
129,16
129,12
130,12
130,13
131,4
132,1
133,8
133,16
134,4
134,11
135,5
135,13
136,3
137,6
137,4
138,16
139,3
140,16
140,9
141,8
142,16
142,5
143,11
144,2
145,14
145,16
146,7
146,13
147,16
148,11
149,8
150,16
150,9
151,3
152,14
153,13
154,1
154,3
155,4
156,15
156,14
157,2
158,16
159,16
159,3
160,14
161,10
161,2
162,10
163,9
164,12
165,6
166,7
166,13
167,12
168,9
169,7
170,5
171,16
171,1
172,6
172,3
173,1
174,7
174,4
175,15
176,2
176,10
177,6
178,8
178,6
179,7
180,14
180,10
181,12
182,13
183,7
184,5
184,2
185,9
186,4
186,3
187,13
188,9
188,13
189,16
190,1
190,13
191,7
191,2
192,5
193,16
193,14
194,3
194,15
195,5
196,15
197,16
198,4
198,16
199,13
200,16
201,11
201,9
202,7
202,3
203,9
204,14
205,16
206,9
207,14
208,6
209,12
209,14
210,12
211,7
212,7
213,6
213,15
214,1
215,12
215,9
216,10
216,6
217,12
217,15
218,1
218,10
219,9
219,11
220,2
221,9
222,2
222,10
223,16
224,15
225,16
226,4
227,1
227,10
228,5
229,6
230,5
231,4
231,1
232,2
233,9
233,14
234,1
234,6
235,11
236,6
237,12
238,13
239,2
240,5
240,12
241,6
241,8
242,7
242,12
243,6
244,1
245,12
245,2
246,3
246,10
247,3
248,3
248,16
249,6
250,1
250,13
251,1
251,4
252,15
253,8
253,5
254,7
255,5
256,13
256,12
257,9
257,3
258,14
259,7
259,5
260,6
