category_id,category_name,user_id
1,Currently Reading,1
2,Want to Read,1
3,Favorites,1
4,Currently Reading,2
5,Want to Read,2
6,Favorites,2
7,Currently Reading,3
8,Want to Read,3
9,Favorites,3
10,Currently Reading,4
11,Want to Read,4
12,Favorites,4
13,Currently Reading,5
14,Want to Read,5
15,Favorites,5
16,Currently Reading,6
17,Want to Read,6
18,Favorites,6
19,Currently Reading,7
20,Want to Read,7
21,Favorites,7
22,Currently Reading,8
23,Want to Read,8
24,Favorites,8
25,Currently Reading,9
26,Want to Read,9
27,Favorites,9
28,Currently Reading,10
29,Want to Read,10
30,Favorites,10
31,Currently Reading,11
32,Want to Read,11
33,Favorites,11
34,Currently Reading,12
35,Want to Read,12
36,Favorites,12
37,Currently Reading,13
38,Want to Read,13
39,Favorites,13
40,Currently Reading,14
41,Want to Read,14
42,Favorites,14
43,Currently Reading,15
44,Want to Read,15
45,Favorites,15
46,Currently Reading,16
47,Want to Read,16
48,Favorites,16
49,Currently Reading,17
50,Want to Read,17
51,Favorites,17
52,Currently Reading,18
53,Want to Read,18
54,Favorites,18
55,Currently Reading,19
56,Want to Read,19
57,Favorites,19
58,Currently Reading,20
59,Want to Read,20
60,Favorites,20
61,Currently Reading,21
62,Want to Read,21
63,Favorites,21
64,Currently Reading,22
65,Want to Read,22
66,Favorites,22
67,Currently Reading,23
68,Want to Read,23
69,Favorites,23
70,Currently Reading,24
71,Want to Read,24
72,Favorites,24
73,Currently Reading,25
74,Want to Read,25
75,Favorites,25
76,Currently Reading,26
77,Want to Read,26
78,Favorites,26
79,Currently Reading,27
80,Want to Read,27
81,Favorites,27
82,Currently Reading,28
83,Want to Read,28
84,Favorites,28
85,Currently Reading,29
86,Want to Read,29
87,Favorites,29
88,Currently Reading,30
89,Want to Read,30
90,Favorites,30
91,Currently Reading,31
92,Want to Read,31
93,Favorites,31
94,Currently Reading,32
95,Want to Read,32
96,Favorites,32
97,Currently Reading,33
98,Want to Read,33
99,Favorites,33
100,Currently Reading,34
101,Want to Read,34
102,Favorites,34
103,Currently Reading,35
104,Want to Read,35
105,Favorites,35
106,Currently Reading,36
107,Want to Read,36
108,Favorites,36
109,Currently Reading,37
110,Want to Read,37
111,Favorites,37
112,Currently Reading,38
113,Want to Read,38
114,Favorites,38
115,Currently Reading,39
116,Want to Read,39
117,Favorites,39
118,Currently Reading,40
119,Want to Read,40
120,Favorites,40
121,Currently Reading,41
122,Want to Read,41
123,Favorites,41
124,Currently Reading,42
125,Want to Read,42
126,Favorites,42
127,Currently Reading,43
128,Want to Read,43
129,Favorites,43
130,Currently Reading,44
131,Want to Read,44
132,Favorites,44
133,Currently Reading,45
134,Want to Read,45
135,Favorites,45
136,Currently Reading,46
137,Want to Read,46
138,Favorites,46
139,Currently Reading,47
140,Want to Read,47
141,Favorites,47
142,Currently Reading,48
143,Want to Read,48
144,Favorites,48
145,Currently Reading,49
146,Want to Read,49
147,Favorites,49
148,Currently Reading,50
149,Want to Read,50
150,Favorites,50
151,Currently Reading,51
152,Want to Read,51
153,Favorites,51
154,Currently Reading,52
155,Want to Read,52
156,Favorites,52
157,Currently Reading,53
158,Want to Read,53
159,Favorites,53
160,Currently Reading,54
161,Want to Read,54
162,Favorites,54
163,Currently Reading,55
164,Want to Read,55
165,Favorites,55
166,Currently Reading,56
167,Want to Read,56
168,Favorites,56
169,Currently Reading,57
170,Want to Read,57
171,Favorites,57
172,Currently Reading,58
173,Want to Read,58
174,Favorites,58
175,Currently Reading,59
176,Want to Read,59
177,Favorites,59
178,Currently Reading,60
179,Want to Read,60
180,Favorites,60
181,Currently Reading,61
182,Want to Read,61
183,Favorites,61
184,Currently Reading,62
185,Want to Read,62
186,Favorites,62
187,Currently Reading,63
