publisher_id,publisher_name
1,Summit Press 1
2,Redwood Publishing 2
3,Granite House 3
4,Riverbend Media 4
5,Redwood House 5
6,North Imprint 6
7,Bluebird Works 7
8,Windswept Press 8
9,Redwood Imprint 9
10,Silver Press 10
11,Summit Books 11
12,Silver Books 12
13,Harbor Editions 13
14,Bluebird Media 14
15,Redwood Works 15
16,Silver Press 16
17,Windswept Publishing 17
18,Bluebird Imprint 18
19,Cedar Works 19
20,Summit Imprint 20
21,Bluebird Works 21
22,Riverbend Press 22
23,Summit Works 23
24,Summit Media 24
25,Summit Books 25
26,Windswept Imprint 26
27,Silver Press 27
28,Silver Press 28
29,Bluebird Press 29
30,Riverbend Editions 30
31,Pine House 31
32,Granite Editions 32
33,Windswept Press 33
34,Bluebird Editions 34
35,Windswept Works 35
36,Riverbend House 36
37,Harbor Media 37
38,Summit Press 38
39,Granite Publishing 39
40,Pine Imprint 40
41,Cedar Press 41
42,Summit Editions 42
43,Silver Media 43
44,Granite Publishing 44
45,Bluebird House 45
